location_address_streetAddress,location_address_city,location_position_latitude,location_position_longitude,location_namedAreas_0,location_region_municipalityName,location_region_countyName,listPrice,livingArea,plotArea,source_name,source_id,source_type,source_url,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,additionalArea,rent
Varg Pers väg 6,Bäsna,60.540311,15.202622,Bäsna,Gagnef,Dalarnas län,1500000,132.0,1382.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2020-05-27 02:49:06,1975.0,Villa,3825321,2020-06-11,1965000,maklare,https://www.booli.se/annons/3825321,,
Flosjövägen 20,Floda,60.515823,14.807347,Syrholen,Gagnef,Dalarnas län,2395000,161.0,2350.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2020-05-20 20:58:20,1980.0,Villa,3768624,2020-06-26,2445000,maklare,https://www.booli.se/annons/3768624,,
Slindervägen 2,Bäsna,60.53464498,15.20304072,Bäsna,Gagnef,Dalarnas län,1150000,81.0,,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2020-04-24 16:08:52,,Villa,3809209,2020-06-13,1000000,bid,https://www.booli.se/annons/3809209,,2873.0
Nyåkersvägen 5,Djurås,60.557324,15.123184,Djurås,Gagnef,Dalarnas län,2495000,128.0,1063.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2020-05-12 20:48:44,1960.0,Villa,3821329,2020-06-01,2750000,maklare,https://www.booli.se/annons/3821329,128.0,
Flodvägen 18,Djurås,60.556345,15.132389,Djurås,Gagnef,Dalarnas län,2575000,148.0,926.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2020-05-22 21:19:11,1972.0,Villa,3805472,2020-06-02,2840000,bid,https://www.booli.se/annons/3805472,22.0,
Idrottsvägen 1,Björbo,60.45622498,14.72838588,Björbo,Gagnef,Dalarnas län,1495000,114.0,5300.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2020-05-11 17:49:55,1925.0,Villa,3820149,2020-05-20,2050000,maklare,https://www.booli.se/annons/3820149,53.0,
Wernervägen 12,Gagnef,60.594411,15.080093,Gagnef,Gagnef,Dalarnas län,1295000,81.0,1702.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2020-03-13 05:33:00,1956.0,Villa,3765074,2020-04-01,1400000,maklare,https://www.booli.se/annons/3765074,80.0,
Mon 110,,60.5425474,15.05691202,Djurås,Gagnef,Dalarnas län,1695000,126.0,2815.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2020-03-16 16:56:31,1909.0,Villa,3762780,2020-04-01,2000000,maklare,https://www.booli.se/annons/3762780,9.0,
Västeråkersvägen 31,Mockfjärd,60.50378,14.956379,Mockfjärd,Gagnef,Dalarnas län,1450000,118.0,1230.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2020-03-31 11:02:27,1975.0,Villa,3585471,2020-04-17,1950000,maklare,https://www.booli.se/annons/3585471,172.0,
Kyrkbyvägen 4,Gagnef,60.591534,15.070374,Gagnef,Gagnef,Dalarnas län,2250000,180.0,1267.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2020-01-30 12:19:09,1934.0,Villa,3678882,2020-04-18,2300000,maklare,https://www.booli.se/annons/3678882,90.0,
Nissvägen 7,Djurås,60.553295,15.138266,Djurås,Gagnef,Dalarnas län,1900000,137.0,973.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2020-04-10 13:03:14,1978.0,Villa,3722164,2020-04-20,2020000,maklare,https://www.booli.se/annons/3722164,17.0,
Färmsnäs 43,,60.521519,14.983333,Färmsnäs,Gagnef,Dalarnas län,950000,76.0,1338.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2020-04-27 13:36:06,1959.0,Villa,3770100,2020-05-07,1850000,bid,https://www.booli.se/annons/3770100,117.0,
Tegelbruksvägen 7,Gagnef,60.59246329,15.07370928,Gagnef,Gagnef,Dalarnas län,300000,85.0,500.0,Länsförsäkringar Fastighetsförmedling,64,Broker,https://www.lansfast.se/,2.0,2017-10-19 16:28:04,,Villa,3021727,2018-05-02,175000,maklare,https://www.booli.se/annons/3021727,,
Jaköpes Berg 5,Nordbäck,60.57914,15.058759,Nordbäck,Gagnef,Dalarnas län,2950000,145.0,2762.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,,2020-02-24 21:56:54,1880.0,Villa,3746673,2020-03-19,2800000,bid,https://www.booli.se/annons/3746673,,
Åkergårdsvägen 3,Björbo,60.461584,14.712721,Björbo,Gagnef,Dalarnas län,650000,98.0,1050.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2020-01-29 02:55:20,1963.0,Villa,3720204,2020-02-13,650000,maklare,https://www.booli.se/annons/3720204,98.0,
Lingonvägen 1,Mockfjärd,60.493255,14.950351,Jugasåkern,Gagnef,Dalarnas län,1100000,140.0,1917.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2019-11-08 15:15:55,1964.0,Villa,3615665,2019-11-27,1250000,maklare,https://www.booli.se/annons/3615665,77.0,
Larssvedsbacken 19,Nordbäck,60.575122,15.069207,Nordbäck,Gagnef,Dalarnas län,450000,88.0,2405.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2017-07-14 21:32:02,1800.0,Villa,2369272,2017-08-11,900000,maklare,https://www.booli.se/annons/2369272,,
Jirängsvägen 12,,60.543817,15.126432,Fullskärm,Gagnef,Dalarnas län,2895000,176.0,6399.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2017-07-28 21:47:48,1930.0,Villa,2374609,2017-08-15,2895000,maklare,https://www.booli.se/annons/2374609,,
Nissvägen 15,Djurås,60.553504,15.135842,Djurås,Gagnef,Dalarnas län,2395000,237.0,972.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2017-10-25 17:55:13,1977.0,Villa,3026229,2018-01-18,2395000,maklare,https://www.booli.se/annons/3026229,52.0,
Älvnäs 15,Gagnef,60.586985,15.063081,Nordbäck,Gagnef,Dalarnas län,695000,112.8,,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2018-03-26 10:49:00,1990.0,Villa,3115473,2018-04-16,850000,maklare,https://www.booli.se/annons/3115473,7.0,
Tjärnhedsvägen 30,Gagnef,60.608368,15.070977,Gagnef,Gagnef,Dalarnas län,2195000,118.0,930.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2019-03-12 21:42:16,1981.0,Villa,3364139,2019-03-16,2400000,maklare,https://www.booli.se/annons/3364139,49.0,
Sälbuvägen 7,Floda,60.493284,14.787424,Floda,Gagnef,Dalarnas län,2395000,160.0,3640.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2019-08-24 02:22:20,1942.0,Villa,3556370,2019-09-27,2950000,maklare,https://www.booli.se/annons/3556370,26.0,
Sälje 309,,60.49586687,14.85180764,Dala-floda,Gagnef,Dalarnas län,695000,63.0,3205.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,2.0,2019-04-03 12:11:36,1909.0,Villa,3381103,2019-10-02,625000,bid,https://www.booli.se/annons/3381103,,
Syrholsvägen 6,Floda,60.510783,14.804791,Dala-Floda,Gagnef,Dalarnas län,2490000,142.0,3775.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2018-10-23 17:00:08,1893.0,Villa,3253976,2018-11-10,2750000,maklare,https://www.booli.se/annons/3253976,20.0,
Kalvbäcksvägen 10,Bäsna,60.540156,15.198557,Bäsna,Gagnef,Dalarnas län,1350000,125.0,1026.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2018-07-12 14:49:23,1980.0,Villa,3199606,2018-08-01,1404998,maklare,https://www.booli.se/annons/3199606,,
